arrival_ts,event_ts,val_x,val_y,val_z,val_w,accuracy
54734125477235,54734122899580,0.05777099,-0.21977448,-0.950185,0.21333118,0.0
54734128944995,54734127690840,0.056531653,-0.22012427,-0.9504722,0.21201918,0.0
54734134938849,54734132482099,0.05513004,-0.22061844,-0.9506294,0.21116804,0.0
54734138741402,54734137273359,0.053471018,-0.22088517,-0.9508815,0.21017845,0.0
54734143579527,54734142064619,0.051969673,-0.22106948,-0.9511268,0.20924912,0.0
54734148336870,54734146855879,0.050666243,-0.22123806,-0.95136327,0.20831376,0.0
54734153996349,54734151647139,0.049544964,-0.22134736,-0.9515505,0.20761093,0.0
54734158187027,54734156438398,0.04855429,-0.22141965,-0.95172226,0.2069797,0.0
54734162718172,54734161290693,0.04766516,-0.22148336,-0.9518738,0.20642047,0.0
54734169329995,54734166081953,0.046720102,-0.22157592,-0.95208514,0.20556079,0.0
54734172934839,54734170873213,0.045972057,-0.2216133,-0.9522154,0.20508526,0.0
54734177168485,54734175664473,0.045666,-0.22166418,-0.95224804,0.20494711,0.0
54734182237079,54734180455732,0.045342974,-0.22172606,-0.95228237,0.20479225,0.0
54734189137287,54734185246992,0.04506165,-0.22181875,-0.9523705,0.20434348,0.0
54734191753329,54734190038252,0.044987574,-0.22183527,-0.9523662,0.20436205,0.0
54734196620829,54734194829512,0.04499417,-0.2218052,-0.95235664,0.20443776,0.0
54734203586818,54734199620771,0.045137566,-0.22177733,-0.9523146,0.20463221,0.0
54734207187287,54734204412031,0.04533066,-0.22175068,-0.952327,0.20456052,0.0
54734211549891,54734209203291,0.045627687,-0.22167678,-0.9522525,0.20492105,0.0
54734215843589,54734213994551,0.04601845,-0.22154166,-0.95216703,0.20537646,0.0
54734222707443,54734218785810,0.046382822,-0.2213657,-0.95209,0.20584093,0.0
54734226038849,54734223577070,0.046630796,-0.22121787,-0.95208967,0.2059454,0.0
54734231036506,54734228368330,0.046966985,-0.22102842,-0.95200753,0.20645155,0.0
54734234919631,54734233159590,0.04726674,-0.22081427,-0.95193493,0.20694624,0.0
54734240522131,54734237950849,0.04755517,-0.22057755,-0.9518654,0.20745209,0.0
54734245196297,54734242742109,0.04771924,-0.22034036,-0.9518916,0.20754597,0.0
54734249414006,54734247533369,0.047883265,-0.22010928,-0.9518424,0.20797865,0.0
54734257211141,54734252324629,0.0479388,-0.21986122,-0.95182073,0.20832705,0.0
54734258600412,54734257115889,0.047956392,-0.2196294,-0.9518009,0.2086581,0.0
54734263749422,54734261907148,0.047825642,-0.21941116,-0.9518782,0.20856494,0.0
54734269074006,54734266728926,0.047735054,-0.21919304,-0.9518817,0.2087989,0.0
54734272957235,54734271520185,0.047619,-0.21896698,-0.9518959,0.20899783,0.0
54734277985464,54734276311445,0.047495473,-0.21879676,-0.95189935,0.20918827,0.0
54734282841610,54734281102705,0.047266897,-0.21870889,-0.95196104,0.20905134,0.0
54734287869110,54734285893965,0.04705116,-0.21865237,-0.95195407,0.20919089,0.0
54734292465829,54734290685224,0.046899263,-0.21855721,-0.95194554,0.20936294,0.0
54734297277808,54734295476484,0.046771474,-0.21841067,-0.95194775,0.2095344,0.0
54734303226662,54734300267744,0.04665834,-0.21821876,-0.95202136,0.20942505,0.0
54734306579579,54734305059004,0.04662475,-0.21799773,-0.9520259,0.20964226,0.0
54734312007599,54734309850264,0.046592172,-0.21779612,-0.9520244,0.20986558,0.0
54734316656506,54734314641523,0.046584554,-0.21762614,-0.95200604,0.21012685,0.0
54734322076922,54734319432783,0.04642826,-0.21750997,-0.95207375,0.20997474,0.0
54734326630620,54734324224043,0.046361156,-0.21738318,-0.95205307,0.21021456,0.0
54734331530151,54734329015303,0.046288352,-0.21723872,-0.95203775,0.21044916,0.0
54734336492495,54734333806562,0.046207953,-0.21705452,-0.9520356,0.2106664,0.0
54734341000724,54734338597822,0.04603935,-0.21684957,-0.95212734,0.21049984,0.0
54734345124214,54734343389082,0.04595315,-0.21653269,-0.9521591,0.21070112,0.0
54734349831766,54734348180342,0.04588772,-0.21621026,-0.95218766,0.21091722,0.0
54734355297183,54734352971601,0.045736395,-0.21605006,-0.9521878,0.21111365,0.0
54734359795047,54734357762861,0.045358665,-0.21605131,-0.95226127,0.21086226,0.0
54734364652339,54734362584639,0.04502942,-0.21605572,-0.95224744,0.2109906,0.0
54734368932912,54734367375898,0.044697896,-0.2160215,-0.952242,0.21112068,0.0
54734374652235,54734372167158,0.04437807,-0.21594717,-0.9522447,0.21125196,0.0
54734379544891,54734376958418,0.043927014,-0.21587083,-0.95241356,0.21066235,0.0
54734383933120,54734381749678,0.043655474,-0.21580252,-0.952412,0.21079573,0.0
