arrival_ts,event_ts,val_x,val_y,val_z,val_w,accuracy
1186133470607039,1186133463681724,0.14266932,0.11050457,0.80590165,0.56387657,0.0
1186133470704695,1186133468472984,0.13955718,0.11349195,0.807876,0.56123054,0.0
1186133479453966,1186133473264244,0.13706112,0.11584281,0.8086632,0.5602308,0.0
1186133479605424,1186133478055504,0.13413414,0.11829272,0.80982447,0.5587479,0.0
1186133484781153,1186133482846763,0.1313269,0.12062223,0.81099975,0.55720997,0.0
1186133489763757,1186133487638023,0.12868984,0.12207268,0.81275356,0.5549494,0.0
1186133494207924,1186133492459800,0.1262595,0.12320109,0.81463546,0.5524936,0.0
1186133499017091,1186133497251060,0.12416723,0.12413382,0.81637585,0.5501852,0.0
1186133504208393,1186133502042320,0.12205698,0.12513761,0.81809944,0.5478649,0.0
1186133508982091,1186133506833580,0.12037373,0.1258607,0.81963074,0.545779,0.0
1186133513398132,1186133511624840,0.11892747,0.1266042,0.8209689,0.5439096,0.0
1186133518274435,1186133516416099,0.11763866,0.127498,0.82204026,0.5423608,0.0
1186133523357143,1186133521207359,0.11635106,0.12842798,0.8230829,0.5408357,0.0
1186133528428393,1186133526029136,0.11517113,0.12977327,0.82369554,0.5398335,0.0
1186133532318393,1186133530820396,0.11402941,0.13131224,0.82409513,0.5390933,0.0
1186133537587664,1186133535611656,0.11294418,0.13277332,0.8244917,0.538357,0.0
1186133542555841,1186133540402916,0.11179517,0.13431703,0.8248792,0.53761977,0.0
1186133546597716,1186133545194175,0.11052053,0.13609894,0.82519233,0.5369543,0.0
1186133551822768,1186133549985435,0.109169915,0.13787308,0.8255968,0.53615564,0.0
1186133556304851,1186133554776695,0.10775736,0.13960609,0.82610554,0.53520846,0.0
1186133562164851,1186133559567955,0.10623931,0.14127235,0.8268143,0.5339789,0.0
1186133566065216,1186133564359215,0.10474369,0.14280812,0.82769424,0.5325006,0.0
1186133571370528,1186133569150474,0.10333208,0.1441686,0.8287144,0.5308205,0.0
1186133575274330,1186133573972252,0.102002315,0.14532329,0.8299316,0.52885747,0.0
1186133580255424,1186133578763511,0.1008123,0.14629598,0.83127135,0.52670896,0.0
1186133585156205,1186133583554771,0.099827655,0.14709122,0.83265275,0.52448833,0.0
1186133590101466,1186133588346031,0.09907372,0.1478427,0.83395314,0.52234966,0.0
1186133594440580,1186133593137291,0.09841429,0.14861915,0.8352173,0.52022976,0.0
1186133599915789,1186133597928550,0.097852156,0.1494851,0.83635867,0.5182503,0.0
1186133605048810,1186133602719810,0.09729407,0.15044668,0.8373933,0.5164031,0.0
1186133610334382,1186133607511070,0.096663296,0.15158987,0.8384813,0.5144179,0.0
1186133614525268,1186133612332847,0.096366465,0.1529849,0.83917964,0.5129197,0.0
1186133619032768,1186133617124107,0.09634703,0.15463713,0.8395353,0.51184475,0.0
1186133623462143,1186133621915367,0.09666692,0.15654503,0.83945763,0.5113316,0.0
1186133628661362,1186133626706627,0.09732342,0.158665,0.8390327,0.5112511,0.0
1186133633240268,1186133631497886,0.09822826,0.1609081,0.8383297,0.5115302,0.0
1186133638000216,1186133636289146,0.09933302,0.16314372,0.83744454,0.5120583,0.0
1186133642455580,1186133641080406,0.10060114,0.16530783,0.83635306,0.5128999,0.0
1186133648010945,1186133645871666,0.101910286,0.16729522,0.8353302,0.5136634,0.0
1186133652268237,1186133650693443,0.103186645,0.16927025,0.8342444,0.5145255,0.0
1186133657038132,1186133655515220,0.10431626,0.17109838,0.8332637,0.51528156,0.0
1186133662730372,1186133660306480,0.10525934,0.17278455,0.832348,0.51600665,0.0
1186133667316414,1186133665097740,0.10592186,0.1743795,0.8317105,0.51636225,0.0
1186133671874070,1186133669889000,0.10637494,0.17587125,0.8312512,0.51650274,0.0
1186133676597664,1186133674680259,0.10666088,0.17732239,0.8309033,0.5165074,0.0
1186133681068341,1186133679471519,0.106888436,0.17871141,0.83052963,0.5165826,0.0
1186133686030632,1186133684262779,0.10708366,0.18008591,0.8302332,0.5165413,0.0
1186133690794330,1186133689054039,0.107349396,0.18137264,0.8298985,0.5165739,0.0
1186133696052924,1186133693875816,0.10772044,0.1825571,0.82948935,0.5167365,0.0
1186133700472664,1186133698667076,0.10822376,0.18353258,0.8289323,0.5171795,0.0
1186133705362559,1186133703458336,0.108789004,0.18434516,0.82842916,0.51757795,0.0
1186133710920841,1186133708249595,0.10936773,0.18496414,0.82793194,0.5180306,0.0
1186133714359799,1186133713040855,0.10988174,0.18541153,0.82747346,0.5184942,0.0
1186133728829018,1186133717832115,0.110225335,0.18565124,0.8270858,0.5189538,0.0
1186133728907091,1186133722623375,0.11033456,0.18565245,0.8271262,0.51886576,0.0
1186133728975164,1186133727414634,0.11028022,0.18544504,0.8274617,0.51841635,0.0
1186133733699278,1186133732236412,0.11004219,0.18519935,0.8280334,0.5176414,0.0
1186133739338705,1186133737027672,0.109686956,0.18498011,0.8286557,0.5167986,0.0
1186133744347195,1186133741818931,0.10927678,0.184989,0.82939476,0.5156957,0.0
1186133748412039,1186133746610191,0.10881588,0.18515472,0.83023715,0.51437646,0.0
1186133752839903,1186133751401451,0.10844852,0.18553342,0.83102274,0.5130472,0.0
1186133757677976,1186133756192711,0.10822514,0.18613943,0.83157694,0.5119758,0.0
1186133762639799,1186133760983970,0.108058915,0.18694682,0.832265,0.5105968,0.0
1186133767072143,1186133765775230,0.10808322,0.18802361,0.83278394,0.5093487,0.0
1186133772502247,1186133770566490,0.108323604,0.18925604,0.8332007,0.5081582,0.0
1186133777128497,1186133775388267,0.10891103,0.19056474,0.8333383,0.5073171,0.0
1186133781655737,1186133780179527,0.109737806,0.1919994,0.8334544,0.5064066,0.0
1186133786139799,1186133784970787,0.11087374,0.19347888,0.8334014,0.50568277,0.0
1186133791830632,1186133789762047,0.1123566,0.19497834,0.83311355,0.5052537,0.0
1186133795964539,1186133794553306,0.114155136,0.19639708,0.8325266,0.50526845,0.0
1186133801169174,1186133799344566,0.11615131,0.19773713,0.83194315,0.50525194,0.0
1186133805885945,1186133804135826,0.11835624,0.1988642,0.831294,0.5053663,0.0
1186133810769851,1186133808927086,0.12065048,0.19979937,0.8306439,0.50552386,0.0
1186133815276362,1186133813748863,0.123031415,0.20056777,0.82985145,0.50594705,0.0
1186133820318549,1186133818540123,0.12526605,0.20122167,0.82932454,0.506003,0.0
1186133825034955,1186133823331383,0.12737091,0.20175724,0.82897466,0.5058376,0.0
1186133830363080,1186133828122642,0.12929147,0.2022273,0.82887316,0.5053287,0.0
1186133834552559,1186133832913902,0.1311516,0.20264249,0.8288444,0.5047298,0.0
1186133839557455,1186133837705162,0.13281749,0.20321496,0.829194,0.50348836,0.0
1186133844458080,1186133842496422,0.1345525,0.2041496,0.8294483,0.50222915,0.0
1186133849722143,1186133847287681,0.1360269,0.20533729,0.83006704,0.5003219,0.0
1186133853916830,1186133852078941,0.13754164,0.20693849,0.83053637,0.49846578,0.0
1186133858529174,1186133856900718,0.13906014,0.20906182,0.83112633,0.49616984,0.0
1186133863277924,1186133861691978,0.14054643,0.21169882,0.83168125,0.49369693,0.0
1186133868262612,1186133866483238,0.1420219,0.21487267,0.8321828,0.4910512,0.0
1186133872976882,1186133871274498,0.1435406,0.21851072,0.8324771,0.48849878,0.0
1186133878023184,1186133876065758,0.14498128,0.22268729,0.8329101,0.48543954,0.0
1186133882962039,1186133880857017,0.14652948,0.22728512,0.83327585,0.4822053,0.0
1186133887170684,1186133885648277,0.14820383,0.23229045,0.83358145,0.4787679,0.0
1186133892436049,1186133890439537,0.15012896,0.23770896,0.83374447,0.47521147,0.0
1186133896954695,1186133895230797,0.15248334,0.2435652,0.8336338,0.47167736,0.0
1186133902127664,1186133900052574,0.15543425,0.24988027,0.8331418,0.4682679,0.0
1186133906506570,1186133904843834,0.1590927,0.25649762,0.8321932,0.46513763,0.0
1186133911424174,1186133909635093,0.16376494,0.26323745,0.83036417,0.46301454,0.0
1186133915880372,1186133914426353,0.16901286,0.27026382,0.8283678,0.4606505,0.0
1186133920649434,1186133919217613,0.17496273,0.27736533,0.8258562,0.45871344,0.0
1186133925403445,1186133924008873,0.18143815,0.28444618,0.82291687,0.45714158,0.0
1186133930692143,1186133928800133,0.18851863,0.29128745,0.8192076,0.45663035,0.0
1186133935661934,1186133933591392,0.19543386,0.29815733,0.8156924,0.45558065,0.0
1186133940352403,1186133938382652,0.20221394,0.30484882,0.8121127,0.4545874,0.0
1186133945303236,1186133943234947,0.2088141,0.31151414,0.80841666,0.4536718,0.0
1186133949335476,1186133948026207,0.21521349,0.3178547,0.80431354,0.4535761,0.0
1186133954433601,1186133952817466,0.22089472,0.3244157,0.8005284,0.45289537,0.0
1186133959238966,1186133957608726,0.22616467,0.33097804,0.79663646,0.45240843,0.0
1186133964025320,1186133962399986,0.23104471,0.33744967,0.7926751,0.45211977,0.0
1186133969249018,1186133967191246,0.23571861,0.3436385,0.7883103,0.4526767,0.0
1186133974028497,1186133971982506,0.23950255,0.34995857,0.7844277,0.45259333,0.0
1186133978775164,1186133976773765,0.24259938,0.35624126,0.7806854,0.45251292,0.0
1186133983241778,1186133981595543,0.24500006,0.36258334,0.7770701,0.45240504,0.0
1186133988497768,1186133986386802,0.24699147,0.3687102,0.77328897,0.4528489,0.0
1186133992868132,1186133991178062,0.24805412,0.3750646,0.77005345,0.45256314,0.0
1186133997457976,1186133995969322,0.24855079,0.38140982,0.7670231,0.45213345,0.0
1186134002257195,1186134000760582,0.24857515,0.3877012,0.76423055,0.45149732,0.0
1186134007091205,1186134005551841,0.24860477,0.3937422,0.76128656,0.45122668,0.0
1186134011710841,1186134010343101,0.24827822,0.39991784,0.7587887,0.45018148,0.0
1186134016989955,1186134015134361,0.24827296,0.40599012,0.7562109,0.4490853,0.0
1186134021526726,1186134019925621,0.24879262,0.41191658,0.7534488,0.44804227,0.0
1186134026576049,1186134024747398,0.25030026,0.417458,0.7500943,0.44770205,0.0
1186134031349382,1186134029538658,0.25215197,0.42288554,0.7468717,0.44695625,0.0
1186134036355268,1186134034329918,0.2546344,0.42802897,0.74343777,0.4463774,0.0
1186134040836101,1186134039121177,0.257716,0.43291935,0.7397563,0.4460089,0.0
