arrival_ts,event_ts,duration,stride_x,stride_y,stride_z,is_lm_present,inst_stride_len,inst_cascade,inst_speed,is_td_present,running,sequence_num
187425175237822,957704,835,-1163,214,102,true,118,0.0,-1.0,false,false,112
187425175613134,957704,835,-1163,214,102,true,118,0.0,-1.0,false,false,112
187425775763759,959002,834,-985,-65,56,true,98,0.0,-1.0,false,false,125
187425778772144,959002,834,-985,-65,56,true,98,0.0,-1.0,false,false,125
187426979855321,960278,875,-1222,378,43,true,127,0.0,-1.0,false,false,102
187426981161102,960278,875,-1222,378,43,true,127,0.0,-1.0,false,false,102
187428176057039,961456,815,-1151,116,85,true,115,0.0,-1.0,false,false,69
187428177322143,961456,815,-1151,116,85,true,115,0.0,-1.0,false,false,69
187429379632403,962673,795,-1034,195,173,true,105,0.0,-1.0,false,true,3509
187429380082612,962673,795,-1034,195,173,true,105,0.0,-1.0,false,true,3509
187431178703809,964087,1018,-705,821,-41,true,108,0.0,-1.0,false,true,3069
187431178985632,964087,1018,-705,821,-41,true,108,0.0,-1.0,false,true,3069
187431777548809,965783,499,-117,184,86,true,21,0.0,-1.0,false,true,2881
187431780170892,965783,499,-117,184,86,true,21,0.0,-1.0,false,true,2881
187440779634587,974365,679,75,393,164,true,40,0.0,-1.0,false,true,3274
187440782693597,974365,679,75,393,164,true,40,0.0,-1.0,false,true,3274
187441978046826,975525,676,-396,530,52,true,66,0.0,-1.0,false,true,3109
187441981327659,975525,676,-396,530,52,true,66,0.0,-1.0,false,true,3109
187443178010523,976839,699,44,876,144,true,87,0.0,-1.0,false,true,2764
187443178520940,976839,699,44,876,144,true,87,0.0,-1.0,false,true,2764
187444380611460,977940,656,204,542,508,true,57,0.0,-1.0,false,true,2859
187444383310366,977940,656,204,542,508,true,57,0.0,-1.0,false,true,2859
187444978760887,979057,317,-54,-63,-20,true,8,0.0,-1.0,false,true,2911
187444980798127,979057,317,-54,-63,-20,true,8,0.0,-1.0,false,true,2911
187445576953595,979415,319,225,131,-101,true,26,0.0,-1.0,false,true,2902
187445577257606,979415,319,225,131,-101,true,26,0.0,-1.0,false,true,2902
187446779104897,980173,678,304,546,378,true,62,0.0,-1.0,false,true,2966
187446779740678,980173,678,304,546,378,true,62,0.0,-1.0,false,true,2966
187447975113021,981273,716,268,735,216,true,78,0.0,-1.0,false,true,2592
187447976877396,981273,716,268,735,216,true,78,0.0,-1.0,false,true,2592
187448578063906,982507,739,892,-88,74,true,89,0.0,-1.0,false,true,1468
187448578897500,982507,739,892,-88,74,true,89,0.0,-1.0,false,true,1468
187449782344948,983588,676,-67,-780,445,true,78,0.0,-1.0,false,true,1221
