arrival_ts,event_ts,val_x,val_y,val_z,val_w
187350501086027,187350499144244,0.0,0.0,0.0,1.0
187350505157798,187350503935504,0.27295843,0.14852567,0.6906249,0.65304756
187350510164465,187350508757281,0.27577713,0.14495715,0.6899385,0.6533906
187350515062381,187350513548541,0.27892148,0.14144929,0.68898183,0.65383404
187350520044256,187350518339801,0.28145453,0.13801906,0.68786055,0.6546618
187350524709100,187350523131060,0.2835254,0.13481891,0.68660694,0.65575004
187350529887486,187350527922320,0.2853245,0.13189285,0.6852554,0.65697736
187350534634933,187350532713580,0.2870552,0.12919407,0.683848,0.658225
187350539795246,187350537535357,0.2888853,0.1267785,0.68236905,0.65942776
187350545108371,187350542296099,0.29123437,0.12473615,0.680796,0.66040915
187350549925350,187350547117877,0.2942788,0.12324109,0.6789925,0.66119653
187350553693475,187350551909136,0.2979478,0.12221462,0.6770217,0.6617646
187350558514933,187350556700396,0.30193162,0.12132585,0.675007,0.6621804
187350566052538,187350561491656,0.30582792,0.12033497,0.6730738,0.66254085
187350567961756,187350566282916,0.3092646,0.119013876,0.6713604,0.66292256
187350572738631,187350571074176,0.3119561,0.11717222,0.6700021,0.66336364
187350578061548,187350575865435,0.31388825,0.11496524,0.6689825,0.6638672
187350582435611,187350580656695,0.31522545,0.112443075,0.66826737,0.66438556
187350587139673,187350585447955,0.3162212,0.10975684,0.6677752,0.6648563
187350591886496,187350590239215,0.31709313,0.10710453,0.6674374,0.6652127
187350599054413,187350595030474,0.31759682,0.104620114,0.6672727,0.66553295
187350601498058,187350599821734,0.31774604,0.10260095,0.66719645,0.66585237
187350606169881,187350604612994,0.31760538,0.10113532,0.6671819,0.6661582
187350611346235,187350609404254,0.31729352,0.10038601,0.66716385,0.6664382
187350616060454,187350614195513,0.31687513,0.100392886,0.6671148,0.6666853
187350620562277,187350618986773,0.3164429,0.10110117,0.6670186,0.6668798
187350627338527,187350623778033,0.31606856,0.102527514,0.6668172,0.66704094
187350629964569,187350628569293,0.31568795,0.10457298,0.6665151,0.6672055
187350634697798,187350633360552,0.3152806,0.107067585,0.6661412,0.66737586
187350640790350,187350638151812,0.31475544,0.109808475,0.66574305,0.66757566
187350647071860,187350642943072,0.31405947,0.11264782,0.6653446,0.66782755
187350649685506,187350647734332,0.31301644,0.11548246,0.6649754,0.66820073
187350655346444,187350652525592,0.31156138,0.11812709,0.66468316,0.668709
187350660176965,187350657316851,0.3099252,0.12010513,0.66453177,0.6692672
187350664411444,187350662108111,0.3081769,0.12141487,0.66434675,0.6700215
187350669026027,187350666899371,0.30621278,0.12208247,0.6640133,0.6711303
187350673195506,187350671690631,0.30409196,0.12181012,0.66367227,0.6724801
187350679524256,187350676481890,0.30175516,0.120626375,0.663434,0.6739795
187350684127225,187350681273150,0.29902813,0.11864094,0.6634009,0.6755781
187350689144308,187350686064410,0.29587442,0.115886495,0.66366327,0.6771851
187350694089256,187350690855670,0.2921538,0.112636134,0.6641901,0.67883044
187350698228788,187350695677447,0.28800997,0.10903878,0.6649435,0.68044907
187350703340454,187350700468707,0.28342867,0.10531528,0.6658928,0.68202907
187350707895923,187350705259967,0.27835435,0.10166201,0.6669725,0.6836164
187350716259256,187350710051226,0.27280256,0.09833607,0.6681045,0.68523365
187350719235038,187350714842486,0.26686856,0.09563212,0.66919404,0.6868879
187350721645819,187350719633746,0.260829,0.09366814,0.67017025,0.6885248
187350726544256,187350724425006,0.25496623,0.09227602,0.6710067,0.6900923
187350732243215,187350729216265,0.24967289,0.09057384,0.6717737,0.69150555
187350736324465,187350734007525,0.2445824,0.090218484,0.67198974,0.6931594
187350740777381,187350738798785,0.23969866,0.09118797,0.6716782,0.6950379
187350745533944,187350743590045,0.23411113,0.09274963,0.67117226,0.6972211
187350750261965,187350748381304,0.22760294,0.09477186,0.6705711,0.69967824
187350755226079,187350753172564,0.22047308,0.09703089,0.6699774,0.70221573
187350760311913,187350757963824,0.21324748,0.09914161,0.6695164,0.704588
187350764913735,187350762755084,0.20631844,0.100841105,0.6692332,0.7066758
187350769046444,187350767546343,0.19997783,0.10195379,0.6691352,0.7084295
187350775188110,187350772337603,0.19449128,0.10239418,0.6692088,0.70982254
187350780705767,187350777128863,0.18990149,0.10212664,0.6694298,0.7108947
187350783935506,187350781920123,0.18600072,0.1012801,0.6697439,0.7117508
187350788340975,187350786711383,0.18253215,0.10004388,0.67012393,0.7124655
187350793533579,187350791502642,0.17933191,0.09864846,0.670538,0.71308297
187350798653996,187350796324420,0.17621507,0.09734842,0.67095035,0.7136506
187350803370923,187350801115679,0.17310065,0.09635438,0.67132795,0.7141924
187350808321965,187350805906939,0.16999592,0.095806114,0.67162347,0.71473384
187350813480402,187350810698199,0.16694449,0.09580213,0.6717892,0.71529764
