arrival_ts,event_ts,val_x,val_y,val_z,val_w,accuracy
54377444808881,54377428644728,0.19342776,0.19317901,0.53434753,0.79983765,0.0
54377445118517,54377433435988,0.19643787,0.1919991,0.5328495,0.8003874,0.0
54377445435548,54377438227248,0.19958808,0.1904868,0.5313224,0.8009843,0.0
54377445742058,54377443018507,0.20217915,0.18955006,0.5291433,0.8019986,0.0
54377456114923,54377447809767,0.20475338,0.18858428,0.5264384,0.8033521,0.0
54377471169038,54377452601027,0.2072188,0.18775597,0.5241998,0.8043772,0.0
54377471380808,54377457392287,0.20965272,0.18696432,0.52196926,0.80538076,0.0
54377471580600,54377462183547,0.2120604,0.18617983,0.5197964,0.8063369,0.0
54377471774558,54377466974806,0.21439509,0.18534157,0.5175896,0.80733156,0.0
54377475107371,54377471796584,0.21662486,0.18455291,0.5156168,0.80817896,0.0
54377479546173,54377476587843,0.21879904,0.18374932,0.51367193,0.80901444,0.0
54377482734038,54377481379103,0.22089636,0.18300013,0.51157004,0.8099456,0.0
54377488258100,54377486170363,0.2230947,0.18220578,0.50904185,0.81111413,0.0
54377492676798,54377490961623,0.22527659,0.18140526,0.506546,0.8122523,0.0
54377497518308,54377495752882,0.22740218,0.18051825,0.5040779,0.8133922,0.0
54377502876173,54377500544142,0.2292593,0.17950313,0.5020468,0.81435114,0.0
54377507126746,54377505335402,0.23073852,0.17836511,0.5007352,0.8149907,0.0
54377511759506,54377510126662,0.23194352,0.17710866,0.5000174,0.8153633,0.0
54377516572058,54377514917922,0.2333507,0.17563127,0.4996383,0.8155138,0.0
54377521378881,54377519709181,0.23477611,0.17410465,0.49932915,0.8156213,0.0
54377526094715,54377524500441,0.235834,0.17270914,0.4993692,0.8155883,0.0
54377531174090,54377529291701,0.23670103,0.17138192,0.49894702,0.8158755,0.0
54377536924298,54377534113478,0.23724604,0.17015274,0.4985538,0.81621474,0.0
54377540713881,54377538904738,0.23748052,0.16906175,0.49816307,0.8166117,0.0
54377545369975,54377543695998,0.2373633,0.16811533,0.49801698,0.81693023,0.0
54377551408517,54377548487257,0.2370529,0.16730763,0.49772143,0.8173662,0.0
54377555570704,54377553278517,0.23664057,0.16664308,0.49729285,0.8178821,0.0
54377560120756,54377558069777,0.23615813,0.16608545,0.49673364,0.8184746,0.0
54377566844350,54377562861037,0.23556143,0.16567552,0.49609163,0.81911874,0.0
54377569977215,54377567652297,0.23494521,0.1652717,0.4952252,0.8199012,0.0
54377575747006,54377572443556,0.23437494,0.16486353,0.49419984,0.82076484,0.0
54377579048725,54377577234816,0.23387147,0.16442944,0.49308535,0.82166535,0.0
54377583671329,54377582026076,0.23341642,0.16395651,0.4920914,0.82248473,0.0
54377588649610,54377586817336,0.23308869,0.16336285,0.4910859,0.82329637,0.0
54377593456850,54377591639113,0.23283015,0.162676,0.49025205,0.82400215,0.0
54377598307840,54377596430373,0.23267631,0.1619413,0.4895194,0.8246257,0.0
54377603651590,54377601221632,0.23260097,0.16118775,0.4890805,0.8250549,0.0
54377607886746,54377606012892,0.23264442,0.16034102,0.4886393,0.82546896,0.0
54377613708204,54377610804152,0.23273258,0.1594371,0.488408,0.825756,0.0
54377618078517,54377615595412,0.2327808,0.15852144,0.48840582,0.82592,0.0
54377622831954,54377620386672,0.23282886,0.15763728,0.48883978,0.8258189,0.0
54377628329871,54377625177931,0.23297949,0.15672885,0.48931262,0.8256693,0.0
54377633489402,54377629969191,0.2331787,0.15585777,0.48995474,0.82539713,0.0
54377636921069,54377634760451,0.23328914,0.15504631,0.49083498,0.8249957,0.0
54377642672527,54377639582228,0.23327541,0.1543678,0.4920371,0.8244105,0.0
54377647682996,54377644373488,0.23322703,0.1537978,0.49316022,0.82385945,0.0
54377652821746,54377649164748,0.23317447,0.15341094,0.49427432,0.8232786,0.0
54377655828048,54377653986525,0.23313256,0.15323624,0.49531242,0.8226989,0.0
54377660650131,54377658777785,0.23306876,0.1533231,0.49632266,0.8220917,0.0
54377665633360,54377663569045,0.2330404,0.15358423,0.49703023,0.8216234,0.0
54377670441433,54377668360304,0.2330678,0.1540375,0.4974373,0.82128435,0.0
54377676243100,54377673151564,0.23316066,0.15462016,0.497582,0.82106084,0.0
54377680822423,54377677942824,0.23326759,0.15533598,0.49752474,0.82093,0.0
54377686559454,54377682734084,0.23342712,0.15612026,0.49728438,0.82088155,0.0
54377691009923,54377687525343,0.23366703,0.15694351,0.49690935,0.8208834,0.0
54377701671381,54377692316603,0.23399518,0.1577736,0.49641708,0.82092863,0.0
54377701855392,54377697107863,0.23443088,0.15857375,0.49586478,0.82098395,0.0
54377706618256,54377701899123,0.23497394,0.15928608,0.49525142,0.821061,0.0
54377709029975,54377706690382,0.23561026,0.15989876,0.49463347,0.8211321,0.0
54377713320340,54377711512160,0.23636973,0.16042145,0.49398026,0.8212051,0.0
54377718185600,54377716303420,0.23725964,0.16085035,0.49334025,0.8212493,0.0
54377722709142,54377721094679,0.2383208,0.16119514,0.49258247,0.8213293,0.0
54377727514610,54377725885939,0.23956642,0.16144274,0.49166307,0.8214692,0.0
54377732440860,54377730677199,0.24091648,0.16157626,0.49062726,0.8216674,0.0
54377737513048,54377735468459,0.24224104,0.16166556,0.48968762,0.82182086,0.0
54377741854558,54377740259718,0.2436023,0.16157816,0.48848477,0.8221515,0.0
54377746672892,54377745050978,0.24490239,0.16139022,0.48724297,0.822539,0.0
54377751769454,54377749842238,0.24608186,0.16110726,0.4860437,0.8229518,0.0
54377756814506,54377754633498,0.24702936,0.16081211,0.48531428,0.8231561,0.0
54377761364402,54377759424757,0.24783115,0.16028054,0.48450476,0.8234956,0.0
54377766123985,54377764216017,0.24839315,0.15962863,0.48396128,0.82377243,0.0
54377771668569,54377769007277,0.24865541,0.15888925,0.48377052,0.82394826,0.0
54377776263777,54377773829054,0.24859056,0.15818201,0.48413384,0.8238905,0.0
54377781455756,54377778620314,0.24834083,0.15744786,0.48449853,0.82389206,0.0
54377786835235,54377783411574,0.24789535,0.15680929,0.48503172,0.8238343,0.0
54377790928985,54377788202834,0.24733402,0.15627368,0.48565254,0.82373905,0.0
54377795309506,54377792994093,0.24670178,0.15592101,0.48649338,0.82349926,0.0
54377800033152,54377797785353,0.24615757,0.15557504,0.48698545,0.82343674,0.0
54377805981069,54377802576613,0.24571103,0.15530525,0.48727626,0.823449,0.0
54377809953881,54377807367873,0.24540271,0.15508352,0.4873567,0.8235351,0.0
54377814703256,54377812159132,0.24517663,0.15496004,0.4874977,0.82354224,0.0
54377819438933,54377816950392,0.24504262,0.15475343,0.4872891,0.8237444,0.0
54377824085444,54377821741652,0.24488312,0.15453538,0.4870638,0.82396597,0.0
54377828800600,54377826532912,0.24468422,0.15435293,0.48680815,0.8242103,0.0
54377834335860,54377831354689,0.24439925,0.15432328,0.48678806,0.82431227,0.0
54377838450287,54377836145949,0.24415408,0.15432209,0.48648658,0.8245631,0.0
54377843280183,54377840937209,0.24392042,0.15439254,0.4861499,0.8248176,0.0
54377848960756,54377845728468,0.24372564,0.15449525,0.4857143,0.8251125,0.0
54377852469142,54377850519728,0.24360296,0.15458183,0.4851705,0.8254524,0.0
54377858192423,54377855310988,0.24354412,0.15462506,0.48454383,0.8258297,0.0
54377862516902,54377860102248,0.24352217,0.15463626,0.48383546,0.82624924,0.0
54377867936694,54377864893507,0.24351065,0.1546023,0.4830794,0.8267013,0.0
