arrival_ts,event_ts,val_x,val_y,val_z,val_w
186853282711165,186853257407670,0.0,0.0,0.0,1.0
186853282868977,186853262198929,8.7385636E-4,-0.5671125,-0.0017727249,0.82363796
186853283019446,186853266990189,0.0014987842,-0.5663617,-0.0027386544,0.82415086
186853283182988,186853271781449,0.0019421986,-0.56601,-0.0034646874,0.8243888
186853283308404,186853276572709,0.0021992447,-0.56603986,-0.003967608,0.8243654
186853302675384,186853281363968,0.0023446784,-0.56624246,-0.0043009883,0.8242242
186853302747988,186853286155228,0.0022787577,-0.5665833,-0.0044178474,0.8239895
186853302821842,186853290946488,0.0019674804,-0.5671999,-0.004300883,0.8235666
186853302899186,186853295737748,0.0016970681,-0.5677473,-0.004195086,0.82319045
186853303061061,186853300559525,0.0014890129,-0.56817377,-0.0041450546,0.8228968
186853306774446,186853305350785,0.0011887836,-0.5686967,-0.0040457766,0.8225365
186853312004394,186853310142045,8.244129E-4,-0.5692837,-0.003929098,0.82213134
186853316594238,186853314933304,5.0060893E-4,-0.56965077,-0.0038875407,0.8218775
186853321967779,186853319724564,3.5578202E-4,-0.56961226,-0.0040207235,0.82190365
186853326369394,186853324515824,2.7403617E-4,-0.5695343,-0.004223498,0.82195663
186853331061009,186853329307084,2.6578954E-4,-0.5696278,-0.0045126844,0.82189035
186853335764811,186853334098343,3.1625532E-4,-0.5698857,-0.0048876307,0.8217094
186853340237206,186853338889603,3.3310373E-4,-0.57038283,-0.005291393,0.8213619
186853345421165,186853343680863,3.0197238E-4,-0.571008,-0.0057221795,0.8209245
186853350454863,186853348472123,2.5059268E-4,-0.57165676,-0.0061787684,0.82046956
186853355153404,186853353263382,1.7997496E-4,-0.5723648,-0.0066412524,0.8199722
186853359558613,186853358054642,1.0016271E-4,-0.573099,-0.007118171,0.8194552
186853364390904,186853362845902,-8.1549864E-5,-0.57377267,-0.007537701,0.8189799
186853369310748,186853367637162,-3.773393E-4,-0.5744009,-0.007859177,0.8185363
186853374324915,186853372428422,-6.8687944E-4,-0.5749978,-0.008137704,0.8181142
186853379036790,186853377250199,-9.535149E-4,-0.57556385,-0.008400565,0.81771314
186853383484446,186853382041459,-0.0012175055,-0.57592934,-0.008601798,0.8174533
186853390138613,186853386832718,-0.0015078714,-0.57618195,-0.008719631,0.81727356
186853393086061,186853391623978,-0.0018283549,-0.5765009,-0.008746738,0.8170476
186853400091477,186853396415238,-0.0021575661,-0.57684004,-0.008729621,0.8168076
186853402567831,186853401206498,-0.002473315,-0.5771378,-0.0087027745,0.8165966
186853410660071,186853405997757,-0.0027272946,-0.5773434,-0.008704962,0.8164505
186853412045956,186853410789017,-0.0029235107,-0.5775324,-0.008731452,0.8163158
186853417096998,186853415580277,-0.0030586114,-0.57767344,-0.008773411,0.8162151
186853423021686,186853420371537,-0.0030789287,-0.577654,-0.008859659,0.81622785
186853426556425,186853425162797,-0.0029639236,-0.57756895,-0.008979942,0.8162871
186853431285279,186853429954056,-0.0027704306,-0.5776447,-0.009053461,0.8162334
186853436040748,186853434745316,-0.0025060058,-0.5778852,-0.00906042,0.81606394
186853441678665,186853439536576,-0.0021724256,-0.57829237,-0.008999116,0.81577706
186853445790279,186853444327836,-0.0017205633,-0.5788277,-0.008917727,0.8153993
186853450282675,186853449119095,-0.0011768391,-0.57921445,-0.008814628,0.8151267
186853455284133,186853453910355,-6.113675E-4,-0.5796651,-0.008634829,0.81480885
186853460437206,186853458732132,-4.7441477E-5,-0.5803247,-0.008387282,0.814342
186853465185279,186853463523392,4.7525053E-4,-0.58113253,-0.008122553,0.81376827
186853470019446,186853468314652,9.805443E-4,-0.58194447,-0.007937247,0.8131892
186853474770696,186853473105912,0.0013163249,-0.5823374,-0.0077368277,0.81290936
186853479830904,186853477897172,0.001554182,-0.5831656,-0.0075629503,0.81231666
186853484834654,186853482688431,0.001494576,-0.5834237,-0.0074620913,0.8121323
186853489392779,186853487479691,0.0012343593,-0.5831466,-0.0074671437,0.81233174
186853494265279,186853492270951,9.836018E-4,-0.5827928,-0.0076190187,0.81258446
186853499076894,186853497092728,6.8824395E-4,-0.58245665,-0.007869011,0.8128234
186853503951477,186853501883988,3.2350054E-4,-0.58195454,-0.008194705,0.81317997
186853508878144,186853506675248,-2.4218343E-5,-0.5812571,-0.008578334,0.81367475
186853513412467,186853511466507,-2.828422E-4,-0.5805605,-0.008990498,0.81416744
186853519811269,186853516257767,-4.7740727E-4,-0.5800477,-0.009318248,0.81452906
186853525230279,186853521049027,-6.598435E-4,-0.579829,-0.0094866,0.8146827
186853528431269,186853525840287,-7.673682E-4,-0.57984644,-0.009520114,0.8146698
186853533403717,186853530631547,-7.314248E-4,-0.5799381,-0.009464487,0.81460524
186853539453613,186853535453324,-5.603823E-4,-0.5801487,-0.009307995,0.81445724
186853542288508,186853540244584,-2.9511293E-4,-0.58051926,-0.009042997,0.8141962
186853546736894,186853545035843,4.6136203E-5,-0.58099735,-0.008688919,0.81385905
186853552182258,186853549827103,5.103888E-4,-0.58158314,-0.008308917,0.8134444
186853560158769,186853554618363,0.0010509868,-0.58227384,-0.00792072,0.8129535
186853561538196,186853559409623,0.0017171783,-0.5830525,-0.007592649,0.8123972
186853567082467,186853564200882,0.002521951,-0.58396494,-0.0073538837,0.81174165
186853571433092,186853568992142,0.0033757358,-0.5848948,-0.007192607,0.81107026
186853575915852,186853573783402,0.0041142134,-0.58578837,-0.007022474,0.8104232
186853580870748,186853578574662,0.0046852874,-0.5866194,-0.0067994534,0.80982065
186853585071633,186853583365922,0.0052375267,-0.58740497,-0.006614416,0.80924916
186853590849550,186853588157181,0.0056956075,-0.5879961,-0.00644737,0.808818
186853595446477,186853592948441,0.005947958,-0.58830446,-0.0062744753,0.80859333
186853600488196,186853597739701,0.005975825,-0.58839554,-0.0060999985,0.8085281
186853605189186,186853602530961,0.005889536,-0.5883722,-0.0059923395,0.8085466
186853610031842,186853607322220,0.005772517,-0.5882852,-0.0059708515,0.80861086
186853615301738,186853612113480,0.005679563,-0.5881375,-0.0060190484,0.8087186
186853620545956,186853616904740,0.0056098206,-0.58790785,-0.006123936,0.8088853
186853624829863,186853621726517,0.005533402,-0.58769727,-0.006257696,0.8090378
186853629358196,186853626517777,0.0054629752,-0.5874845,-0.0064008473,0.80919164
186853634053144,186853631309037,0.0054021077,-0.5873009,-0.0065630293,0.809324
186853638781842,186853636100297,0.005370397,-0.58716273,-0.006821038,0.8094224
186853643900956,186853640891556,0.005316334,-0.58708864,-0.0071811844,0.80947334
186853648496425,186853645682816,0.0052008475,-0.5870416,-0.007637017,0.80950403
186853652967310,186853650474076,0.0049989717,-0.587006,-0.008167602,0.80952597
186853658020227,186853655265336,0.0047274195,-0.5869517,-0.008774688,0.80956066
186853663260904,186853660056595,0.0044067926,-0.5868602,-0.009423962,0.80962145
186853667379550,186853664847855,0.004020628,-0.5867714,-0.010048374,0.8096802
186853673143300,186853669639115,0.0035529917,-0.5867876,-0.010570578,0.80966413
186853678784967,186853674430375,0.003035901,-0.58699256,-0.010977843,0.8095122
186853683901738,186853679221634,0.0025088526,-0.5874035,-0.011324728,0.8092111
186853688179915,186853684012894,0.0020374795,-0.5878958,-0.011675561,0.8088498
186853691365488,186853688804154,0.0016320336,-0.58845186,-0.01200211,0.8084415
186853697324185,186853693595414,0.0012948185,-0.588979,-0.01225687,0.8080543
186853701324133,186853698417191,0.0010105812,-0.5895009,-0.012377924,0.80767226
186853705628092,186853703208451,8.402707E-4,-0.5900351,-0.0123875225,0.80728215
186853711432154,186853707999711,8.307755E-4,-0.59060454,-0.012356097,0.80686605
186853715364498,186853712790970,9.1320014E-4,-0.5911735,-0.012302453,0.80645007
186853720526581,186853717582230,0.0010214238,-0.5917132,-0.0122498395,0.80605483
186853724326738,186853722373490,0.0010824947,-0.5922111,-0.012196731,0.80568975
186853729894810,186853727164750,0.0010680932,-0.5926847,-0.012144923,0.8053423
186853734900488,186853731956009,0.0010360351,-0.59326243,-0.01216305,0.80491656
186853739703144,186853736747269,0.0010028002,-0.59378713,-0.012305114,0.80452746
186853744660279,186853741538529,9.858602E-4,-0.5942604,-0.012619161,0.8041731
186853749499706,186853746329789,9.674825E-4,-0.59462345,-0.013085529,0.80389726
186853754566633,186853751121048,9.055551E-4,-0.5947596,-0.013656983,0.8037871
186853758501217,186853755912308,8.701585E-4,-0.5946968,-0.014289132,0.8038226
186853763185279,186853760703568,9.2138833E-4,-0.59451073,-0.01492823,0.8039486
186853768974706,186853765494828,0.0011167533,-0.5942842,-0.015548795,0.80410403
186853773881894,186853770286088,0.0014449675,-0.59406203,-0.01612068,0.8042564
186853777359863,186853775077347,0.0018523455,-0.5939034,-0.016596902,0.804363
186853782597258,186853779929642,0.0023046723,-0.5938943,-0.0169432,0.80436134
186853786429915,186853784720902,0.0028266136,-0.59403914,-0.017204264,0.8042472
186853791912883,186853789512162,0.0034174449,-0.5943209,-0.017427977,0.80403185
186853796449758,186853794303422,0.004060255,-0.5946675,-0.017641338,0.8037679
186853801562467,186853799094681,0.0046811122,-0.5949661,-0.017827287,0.8035394
186853806558300,186853803885941,0.0052532307,-0.59519166,-0.01795485,0.803366
186853811293925,186853808677201,0.0057818843,-0.59536356,-0.018024508,0.8032334
186853815404498,186853813468461,0.006262555,-0.5956136,-0.018035525,0.80304414
186853820469394,186853818259720,0.006747009,-0.59589964,-0.018041989,0.80282784
186853825211998,186853823050980,0.007100504,-0.5962714,-0.017921388,0.80255145
186853830371738,186853827842240,0.0074032815,-0.5967364,-0.017709902,0.80220777
186853834644342,186853832633500,0.007735017,-0.5972251,-0.017443873,0.8018466
186853840351165,186853837424759,0.008066384,-0.5976999,-0.017091837,0.80149716
186853845208300,186853842216019,0.008496346,-0.59815925,-0.016709704,0.80115795
186853849488665,186853847007279,0.008907806,-0.5985921,-0.016159836,0.80084145
186853855171685,186853851798539,0.009330708,-0.5991529,-0.015383686,0.80043244
186853859375279,186853856620316,0.00963323,-0.6001658,-0.0142246885,0.79969114
186853864094342,186853861411576,0.009733155,-0.6018684,-0.012808468,0.79843324
186853868769967,186853866202836,0.009993299,-0.6035156,-0.011726628,0.7972023
186853873352102,186853870994095,0.010246382,-0.6051333,-0.010880521,0.79598385
186853879905904,186853875785355,0.01038315,-0.6067007,-0.010189674,0.7947972
186853883276425,186853880576615,0.010330119,-0.6080987,-0.0096881725,0.7937351
186853887997779,186853885367875,0.0100499,-0.6091929,-0.00947353,0.79290175
186853892668404,186853890159134,0.00953186,-0.6099318,-0.009594714,0.79233843
186853897635175,186853894950394,0.008783639,-0.61031276,-0.010056953,0.79204804
186853902412467,186853899741654,0.007814195,-0.61041707,-0.010794466,0.79196805
186853907002831,186853904532914,0.00666347,-0.61033964,-0.01173161,0.79202497
186853911732415,186853909324173,0.0053887237,-0.61018866,-0.012784281,0.79213464
186853916703560,186853914115433,0.0040461556,-0.6100423,-0.013889757,0.7922368
186853921221790,186853918906693,0.0027201676,-0.6099315,-0.014984854,0.79230773
186853925744602,186853923697953,0.0015382367,-0.60986453,-0.016041338,0.7923418
