arrival_ts,event_ts,val_x,val_y,val_z,val_w
190425494503727,190425492914493,0.22333182,0.10021468,0.63040406,0.73666185
190425499642321,190425497705753,0.2229323,0.10042832,0.6288999,0.7380382
190425505345811,190425502497012,0.22245939,0.10082984,0.6274177,0.7393864
190425509062946,190425507288272,0.22197574,0.1014336,0.62597054,0.74067456
190425514719977,190425512079532,0.22148602,0.10225376,0.62454873,0.74190766
190425519319925,190425516901309,0.22096924,0.103345215,0.6231318,0.743101
190425524043467,190425521692569,0.22045429,0.10470648,0.6217325,0.7442347
190425528082998,190425526483829,0.21991752,0.10630655,0.620347,0.7453219
190425533315863,190425531275089,0.21940035,0.10813992,0.6189821,0.74634475
190425538967217,190425536066348,0.21885638,0.110163726,0.61765873,0.74730414
190425542479457,190425540857608,0.21834908,0.11218215,0.61641836,0.7481759
190425547147373,190425545648868,0.21789494,0.114101276,0.61526215,0.74896944
190425551895707,190425550440128,0.21749721,0.11590576,0.61415887,0.7497131
190425557272425,190425555231387,0.2171162,0.11759168,0.6130742,0.75044835
190425561196905,190425560022647,0.21670264,0.11918458,0.6119911,0.75120026
190425566677842,190425564844425,0.21622856,0.12069958,0.61090225,0.7519809
190425571144769,190425569635684,0.21567824,0.1221351,0.60983044,0.75277674
190425576810394,190425574426944,0.21507548,0.123489864,0.6087876,0.7535718
190425580732946,190425579248721,0.2144175,0.12474748,0.60779476,0.7543532
190425585682842,190425584039981,0.21368667,0.12593402,0.6068711,0.7551067
190425590538988,190425588831241,0.21285169,0.12705243,0.6060284,0.7558316
190425595294561,190425593622501,0.21190087,0.12817685,0.6052709,0.75651556
190425600437165,190425598401804,0.21086134,0.12932545,0.60460305,0.75714433
190425604816488,190425603193063,0.20975462,0.13054308,0.60402197,0.7577064
190425609637009,190425608014841,0.20865294,0.13187446,0.60350925,0.7581884
190425614144925,190425612806100,0.20758985,0.13332298,0.6030644,0.7585807
190425619055082,190425617597360,0.2065893,0.13490307,0.60267186,0.75888646
190425623797634,190425622388620,0.20565546,0.13660787,0.60230327,0.7591277
190425628754040,190425627179880,0.20482229,0.13843831,0.6019485,0.7593028
190425633750394,190425631971139,0.20412844,0.14037894,0.6016045,0.7594059
190425638729300,190425636762399,0.2036012,0.14237836,0.6012665,0.75944287
190425643416540,190425641553659,0.20318101,0.14442226,0.6009153,0.75944746
190425648390811,190425646344919,0.20280285,0.14663202,0.60051847,0.759439
190425652875550,190425651136179,0.20240104,0.14896801,0.6000722,0.75944436
190425658395863,190425655957956,0.20213214,0.15115094,0.5996603,0.75941
190425662350811,190425660749216,0.20208332,0.1529536,0.5993611,0.7592982
190425667617842,190425665540475,0.20211612,0.15432625,0.599186,0.7591499
190425672868207,190425670331735,0.20211858,0.15533218,0.599102,0.7590104
190425677234509,190425675122995,0.20204149,0.1560805,0.5990532,0.75891596
190425682006592,190425679914255,0.20180175,0.15667844,0.5989604,0.7589297
190425686723102,190425684705514,0.20140381,0.15715176,0.5987799,0.75908
190425691068727,190425689496774,0.20089427,0.15745571,0.5985382,0.75934255
190425697652009,190425694288034,0.20040023,0.15753329,0.5982964,0.75964755
190425702444665,190425699079294,0.20006235,0.15739052,0.5980951,0.75992465
190425706873259,190425703901071,0.20007761,0.15705289,0.5979565,0.7600996
190425710916019,190425708692331,0.20052904,0.15661551,0.5978307,0.7601698
190425715856957,190425713483591,0.20141944,0.15622415,0.5976301,0.76017267
190425720260446,190425718274850,0.2027138,0.15596606,0.59731054,0.7601328
190425724881696,190425723066110,0.20430699,0.15591745,0.59684646,0.76008075
190425729638519,190425727857370,0.20608492,0.1561264,0.5962646,0.76001453
190425735187113,190425732648630,0.20790687,0.15659226,0.59561634,0.75993073
190425739502738,190425737439889,0.20956339,0.15727657,0.59495187,0.7598549
190425744332634,190425742231149,0.21083955,0.15810013,0.59432095,0.75982475
190425749592842,190425747052927,0.21153161,0.15892991,0.5937578,0.75989956
190425754914404,190425751844186,0.21149835,0.15959756,0.5932808,0.76014143
